run_id,replicate,gpu,gpu_arch,gpu_power_limit_w,model,params_b,precision,quantization_backend,gguf_file,batch_size,context_length,requested_tokens,decoded_tokens,ignore_eos,sampling_rate_hz,wall_s,process_energy_j,process_energy_trapezoid_j,mean_power_w,cooldown_s,cooldown_converged,start_power_w,start_temp_c,peak_temp_c,max_power_w,n_power_samples,returncode,llama_cpp_commit,flash_attn,temp,seed,basis,measurement_source,n_trials,session
rtx4090-llamacpp-v2-f16-n576-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,576,True,100.0,15.544,3206.57,3105.517,206.3,60.1,True,26.13,28,45,291.28,1508,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n576-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,576,True,100.0,15.74,3205.44,3106.425,203.65,60.1,True,25.79,28,45,290.87,1527,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n576-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,576,True,100.0,18.352,3370.941,3287.357,183.69,60.1,True,24.99,27,44,290.26,1777,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n64-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,64,True,100.0,4.588,379.387,293.915,82.7,60.1,True,24.96,29,41,150.82,439,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n64-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,64,True,100.0,3.166,295.942,201.937,93.49,60.1,True,26.75,28,40,152.2,302,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n64-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,64,True,100.0,3.221,290.221,199.535,90.1,60.1,True,25.12,27,40,159.0,307,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n64-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,64,True,100.0,3.185,300.058,208.169,94.22,60.1,True,26.47,28,40,154.19,303,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n64-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,64,True,100.0,3.47,308.776,216.993,88.97,60.1,True,25.41,28,40,152.78,328,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n320-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,320,320,True,100.0,4.802,769.654,638.205,160.29,60.1,True,25.32,28,43,311.27,459,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n320-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,320,320,True,100.0,4.904,770.65,647.0,157.13,60.1,True,25.87,29,44,308.86,470,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n320-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,320,320,True,100.0,4.923,769.089,638.178,156.21,60.1,True,25.55,28,44,310.67,474,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n320-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,320,320,True,100.0,4.678,759.203,623.61,162.3,60.1,True,25.91,28,44,311.06,446,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n320-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,320,320,True,100.0,4.587,754.937,617.102,164.58,60.1,True,26.41,29,44,312.1,437,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n576-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,576,True,100.0,6.485,1249.954,1129.436,192.76,60.1,True,25.33,28,45,311.83,618,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-q4mlperf-n576-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,576,True,100.0,6.659,1272.565,1141.874,191.12,60.1,True,25.21,28,45,312.93,640,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
